soc10m,sc2010mg,N,w_human_E1,w_human_E2,emmr_human
2311  'Higher education teaching professionals',231,40.00000017881393,12.42325246706605,14.98993760719895,.49795553
2312  'Further education teaching professionals',231,33.95000010728836,7.224329927936196,15.38764302060008,.43941537
2314  'Secondary education teaching professionals',231,764.0500046610832,139.8484468832612,281.1295013912022,.36700895
2315  'Primary and nursery education teaching professionals',231,78.15000069141388,13.26452380791306,25.88915112987161,.33536914
2316  'Special needs education teaching professionals',231,126.1500004529953,18.72250713035464,43.52496122941375,.32092738
2317  'Snr professionals of educational establishments',231,208.219319999218,61.39490435272455,82.04450523108244,.49187154
2318  'Education advisers and school inspectors',231,40.47794660925865,17.67466778308153,23.34194723144174,.72497851
2319  'Teaching and other educational professionals n.e.c.',231,211.7019796073437,55.76780000515282,97.08756851777434,.49272844
2412  'Barristers and judges',241,53.5,7.49921952933073,27.80086612701416,.39999351
2413  'Solicitors',241,.7020902633666992,.8999999761581421,0,.83085942
2419  'Legal professionals n.e.c.',241,19.87504885345697,11.80121584236622,54.89364603161812,1.9747392
2421  'Chartered and certified accountants',242,136.400001168251,30.93646043911576,85.30349833518267,.53950298
2423  'Management consultants and business analysts',242,92.25000017881393,23.07408295944333,57.51369050145149,.56185287
2424  'Business and financial project mngmnt professionals',242,140.357256308198,51.5865817181766,119.3116053342819,.79256594
"2425  'Actuaries, economists and statisticians'",242,151.4000014662743,50.1299828402698,87.95710713230073,.62158877
2426  'Business and related research professionals',242,53.80000025033951,14.7553999684751,28.57672024518251,.53984684
"2429  'Business, research and admin professionals n.e.c.'",242,31.33000022172928,12.54636162519455,16.28844187781215,.66040802
2431  'Architects',243,73.60000032186508,13.71132200956345,37.82589086890221,.44326451
2432  'Town planning officers',243,.6842767596244812,0,.800000011920929,.44187295
2433  'Quantity surveyors',243,28.90000003576279,5.793044783174992,14.84056295454502,.45720851
2434  'Chartered surveyors',243,79.30000030994415,10.98785602860153,39.4593953974545,.38735881
2436  'Construction project mngrs and related professionals',243,51.10000044107437,14.08617889881134,24.34649976715446,.51388311
2442  'Social workers',244,90.90000075101852,24.55083545856178,32.61477410793304,.44948539
2443  'Probation officers',244,24.35000014305115,5.989669322967529,7.265376523137093,.39516869
2444  'Clergy',244,33.15000009536743,6.217612408101559,5.416937209665775,.26926339
2449  'Welfare professionals n.e.c.',244,73.40000021457672,17.34847413748503,30.5918252505362,.4447464
2451  'Librarians',245,30.95000016689301,10.76509184390306,15.25612935423851,.59428614
2452  'Archivists and curators',245,127.7000004053116,25.24007461220026,55.69623748213053,.41572586
2461  'Quality control and planning engineers',246,101.1500002741814,20.76514452882111,49.56835799664259,.45031461
2462  'Quality assurance and regulatory professionals',246,60.15000039339066,20.47721751593053,26.84943245910108,.56362319
2463  'Environmental health professionals',246,41.25000035762787,9.755524344742298,17.67084584385157,.45068961
"2471  'Journalists, newspaper and periodical editors'",247,100.9500005841255,35.63582717254758,39.89680481702089,.5506115
2472  'Public relations professionals',247,75.30000019073486,25.4635535813868,36.19989924877882,.57853258
2473  'Advertising accounts mngrs and creative directors',247,61.15000009536743,10.04045446962118,41.71152109652758,.5052529
3111  'Laboratory technicians',311,153.6225670725107,42.91105831414461,98.35474067926407,.599446
3112  'Electrical and electronics technicians',311,26.39999997615814,.8345633950084448,9.402010414749384,.20968063
3113  'Engineering technicians',311,53.3500000834465,7.05861858278513,12.45730688422918,.24905851
3114  'Building and civil engineering technicians',311,93.50000077486038,17.17948691546917,47.50606913119555,.43778098
3115  'Quality assurance technicians',311,30.70000016689301,2.111806800588965,13.42861772701144,.28749561
"3116  'Planning, process and production technicians'",311,30.10000032186508,6.445830944925547,14.83343280479312,.46054974
"3119  'Science, engineering and prodctn technicians n.e.c.'",311,25.83109045028687,5.893635725602508,11.99914079159498,.46042216
3121  'Architectural and town planning technicians',312,14.01451946049929,22.15849671699107,56.5863935276866,3.5999589
3122  'Draughtspersons',312,62.23590007424355,8.339414684101939,55.65255500376225,.5811066
3131  'IT operations technicians',313,87.93405705690384,24.47208578139544,51.30251634120941,.5700106
3132  'IT user support technicians',313,15.45000016689301,3.799484916031361,8.553300350904465,.52272719
3213  'Paramedics',321,37.10000020265579,2.782731279730797,10.38436659425497,.21495727
3216  'Dispensing opticians',321,31.45000016689301,4.872286476194859,5.39270193874836,.2406562
3217  'Pharmaceutical technicians',321,27,4.760362312197685,7.995716191828251,.32437852
3218  'Medical and dental technicians',321,145.1500003933907,8.5591373257339,29.24845935497433,.15972006
3219  'Health associate professionals n.e.c.',321,164.6434709951282,71.85033961571753,118.3389178477228,.79577887
3231  'Youth and community workers',323,73.45000022649765,15.54220553860068,27.17236594855785,.39657438
3233  'Child and early years officers',323,63.40000057220459,13.91451792605221,22.79233886301517,.3992222
3234  'Housing officers',323,16.10000020265579,5.234579458832741,7.803158968687057,.56746328
3235  'Counsellors',323,128.8500003814697,32.18043212220073,46.04756703972816,.42843783
3239  'Welfare and housing associate professionals n.e.c.',323,130.7500007152557,35.22071987017989,52.17408047430217,.46889299
3311  'NCOs and other ranks',331,55.05000030994415,3.575188964605331,9.522568188607693,.15143457
3312  'Police officers (sergeant and below)',331,46.65000009536743,4.935715604573488,18.21966833621264,.30108359
3313  'Fire service officers (watch manager and below)',331,81.35000020265579,16.72426542267203,11.40222778171301,.27566537
3314  'Prison service officers (below principal officer)',331,45.30000054836273,5.565070953220129,13.64485374838114,.2734547
3315  'Police community support officers',331,29.30000007152557,4.078483738005161,7.697257112711668,.27054989
